title,is_favorite,date_added,confidence,notes
American Pie,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
American Pie 2,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
American Psycho,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
American Sniper,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
American Wedding,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
An American Werewolf in London,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
An American Werewolf in Paris,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
American Splendor,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Amores Perros,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Analyze That,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Analyze This,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Anchorman: The Legend of Ron Burgundy,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Anchorman 2: The Legend Continues,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Angels and Demons,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Anger Management (2003),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Annie Hall,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Annihilation,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Animatrix,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Any Given Sunday,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Apocalypse Now: Redux,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Apollo 13,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Armageddon,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Arrival (2016),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Art of the Steal (2009),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Art of the Steal (2013),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Artist,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Asteroid City,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Astronaut Farmer,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Atonement (2007),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Attack The Block,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Austin Powers: International Man of Mystery,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Austin Powers 2: The Spy Who Shagged Me,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Austin Powers 3 - Goldmember,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Avatar,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Avengers (2012),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Aviator (2004),false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Awakenings,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Babadook,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Babel,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Baby Driver,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Back to the Future,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Back to the Future II,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Back to the Future III,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Backdraft,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bad Boys,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bad Boys II,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bad News Bears,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bad Santa,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
The Ballad of Buster Scruggs,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bambi,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bandits,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Bangkok Dangerous,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Barbie,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
BASEketball,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Basic Instinct,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Basic Techniques for Creating Graffiti Art,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
Batman,false,2019-11-10,estimated,present in oldest available revision (2019-11-10); actual add date unknown
